,commits,pull_requests,issues,issues_comments,issues_events,pull_requests_comments,coding_day,nc_day
2025-06-05,0,0,0,0,0,160,False,True
2025-06-06,0,0,0,0,0,128,False,True
2025-06-07,0,0,0,0,0,0,False,False
2025-06-08,0,0,0,0,0,0,False,False
2025-06-09,0,0,0,0,0,448,False,True
2025-06-10,0,0,0,0,0,0,False,False
2025-06-11,0,0,0,0,0,48,False,True
2025-06-12,0,0,0,0,0,0,False,False
2025-06-13,0,0,0,0,0,0,False,False
2025-06-14,0,0,0,0,0,0,False,False
2025-06-15,0,0,0,0,0,0,False,False
2025-06-16,0,0,0,0,0,0,False,False
2025-06-17,0,0,0,0,0,0,False,False
2025-06-18,0,0,0,0,0,0,False,False
2025-06-19,0,0,0,0,0,0,False,False
2025-06-20,3,16,0,0,0,640,True,True
2025-06-21,0,0,0,0,0,0,False,False
2025-06-22,0,0,0,0,0,0,False,False
2025-06-23,9,48,0,0,0,672,True,True
2025-06-24,6,48,0,0,0,896,True,True
2025-06-25,0,0,0,0,0,32,False,True
2025-06-26,6,48,0,0,0,432,True,True
2025-06-27,6,16,0,0,0,112,True,True
2025-06-28,0,0,0,0,0,0,False,False
2025-06-29,0,0,0,0,0,160,False,True
2025-06-30,21,48,0,0,0,64,True,True
2025-07-01,21,32,0,0,0,160,True,True
2025-07-02,0,0,0,0,0,176,False,True
2025-07-03,0,0,0,0,0,16,False,True
2025-07-04,3,144,0,0,0,32,True,True
2025-07-05,3,0,0,0,0,0,True,False
2025-07-06,0,0,0,0,0,0,False,False
2025-07-07,3,32,0,0,0,352,True,True
2025-07-08,15,160,0,0,0,1408,True,True
2025-07-09,3,0,0,0,0,192,True,True
2025-07-10,3,32,0,0,0,1280,True,True
2025-07-11,0,96,0,0,0,896,False,True
2025-07-12,0,32,0,0,0,384,False,True
2025-07-13,3,0,0,0,0,32,True,True
2025-07-14,3,32,0,0,0,448,True,True
2025-07-15,15,32,0,0,0,1472,True,True
2025-07-16,6,64,0,0,0,64,True,True
2025-07-17,0,64,0,0,0,128,False,True
2025-07-18,0,0,0,0,0,128,False,True
2025-07-19,3,0,0,0,0,32,True,True
2025-07-20,0,0,0,0,0,192,False,True
2025-07-21,3,32,0,0,0,320,True,True
2025-07-22,3,64,0,0,0,704,True,True
2025-07-23,6,0,0,0,0,32,True,True
2025-07-24,3,0,0,0,0,192,True,True
2025-07-25,0,64,0,0,0,384,False,True
2025-07-26,3,0,0,0,0,64,True,True
2025-07-27,0,0,0,0,0,256,False,True
2025-07-28,6,64,0,0,0,448,True,True
2025-07-29,3,0,0,0,0,0,True,False
2025-07-30,0,0,0,0,0,192,False,True
2025-07-31,0,0,0,0,0,544,False,True
2025-08-01,0,0,0,0,0,0,False,False
2025-08-02,0,0,0,0,0,0,False,False
2025-08-03,0,0,0,0,0,0,False,False
2025-08-04,0,0,0,0,0,352,False,True
2025-08-05,0,0,0,0,0,256,False,True
2025-08-06,0,32,0,0,0,64,False,True
2025-08-07,0,0,0,0,0,224,False,True
2025-08-08,0,0,0,0,0,0,False,False
2025-08-09,0,0,0,0,0,0,False,False
2025-08-10,0,0,0,0,0,0,False,False
2025-08-11,0,0,0,0,0,0,False,False
2025-08-12,0,0,0,0,0,32,False,True
2025-08-13,0,0,0,0,0,0,False,False
2025-08-14,0,0,0,0,0,0,False,False
2025-08-15,0,0,0,0,0,0,False,False
2025-08-16,0,0,0,0,0,0,False,False
2025-08-17,0,0,0,0,0,0,False,False
2025-08-18,0,0,0,0,0,0,False,False
2025-08-19,0,0,0,0,0,0,False,False
2025-08-20,0,0,0,0,0,64,False,True
2025-08-21,0,0,0,0,0,0,False,False
2025-08-22,0,0,0,0,0,0,False,False
2025-08-23,0,0,0,0,0,0,False,False
2025-08-24,0,0,0,0,0,0,False,False
2025-08-25,0,0,0,0,0,0,False,False
2025-08-26,0,0,0,0,0,0,False,False
2025-08-27,3,0,1,0,1,0,True,True
2025-08-28,0,0,0,2,2,256,False,True
