date,commits,pull_requests,issues,issues_comments,issues_events,pull_requests_comments,coding_day,nc_day,break_day,event_day,state
2025-06-05,0,0,0,0,0,48,False,True,False,True,ACTIVE
2025-06-06,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-07,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-08,0,16,0,0,0,0,False,False,False,False,ACTIVE
2025-06-09,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-10,3,0,0,0,0,0,True,False,False,True,ACTIVE
2025-06-11,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-12,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-13,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-14,0,16,0,0,0,0,False,False,False,False,ACTIVE
2025-06-15,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-16,3,16,0,0,0,0,True,False,False,True,ACTIVE
2025-06-17,0,16,0,0,0,0,False,False,False,False,ACTIVE
2025-06-18,3,16,0,0,0,0,True,False,False,True,ACTIVE
2025-06-19,0,16,0,0,0,96,False,True,False,True,ACTIVE
2025-06-20,3,0,0,0,0,0,True,False,False,True,ACTIVE
2025-06-21,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-22,3,0,0,0,0,32,True,True,False,True,ACTIVE
2025-06-23,0,0,0,0,0,32,False,True,False,True,ACTIVE
2025-06-24,6,32,0,0,0,80,True,True,False,True,ACTIVE
2025-06-25,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-26,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-27,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-28,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-29,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-06-30,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-01,9,16,0,0,0,0,True,False,False,True,ACTIVE
2025-07-02,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-03,3,16,0,0,0,0,True,False,False,True,ACTIVE
2025-07-04,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-05,0,0,0,0,0,128,False,True,False,True,ACTIVE
2025-07-06,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-07,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-08,0,0,0,0,0,128,False,True,False,True,ACTIVE
2025-07-09,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-10,0,0,0,0,0,224,False,True,False,True,ACTIVE
2025-07-11,0,0,0,0,0,96,False,True,False,True,ACTIVE
2025-07-12,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-13,3,32,0,0,0,64,True,True,False,True,ACTIVE
2025-07-14,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-15,0,0,0,0,0,384,False,True,False,True,ACTIVE
2025-07-16,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-17,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-18,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-19,3,96,0,0,0,32,True,True,False,True,ACTIVE
2025-07-20,3,0,0,0,0,0,True,False,False,True,ACTIVE
2025-07-21,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-22,6,32,0,0,0,64,True,True,False,True,ACTIVE
2025-07-23,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-24,3,96,0,0,0,0,True,False,False,True,ACTIVE
2025-07-25,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-26,3,0,0,0,0,128,True,True,False,True,ACTIVE
2025-07-27,3,32,0,0,0,576,True,True,False,True,ACTIVE
2025-07-28,3,0,0,0,0,0,True,False,False,True,ACTIVE
2025-07-29,0,0,0,0,0,0,False,False,False,False,ACTIVE
2025-07-30,0,0,0,0,0,64,False,True,False,True,ACTIVE
2025-07-31,0,0,0,0,0,64,False,True,False,True,ACTIVE
